Product Category,Gender,Marital Status,City,State or Province,Country,Purchase Date,Annual Income,Count of State or Province,Sum of Units Sold,Sum of Customer ID,Sum of Transactionno
,,,,,,04/04/2013 Total,,1,5,7584,7214
,,,,,USA Total,,,1,5,7584,7214
,,,,CA Total,,,,1,5,7584,7214
,,,Los Angeles Total,,,,,1,5,7584,7214
,,,Merida,Yucatan,Mexico,24/03/2013,$50K - $70K,1,3,4655,6899
,,,,,,24/03/2013 Total,,1,3,4655,6899
,,,,,Mexico Total,,,1,3,4655,6899
,,,,Yucatan Total,,,,1,3,4655,6899
,,,Merida Total,,,,,1,3,4655,6899
,,,Mexico City,DF,Mexico,08/02/2013,$30K - $50K,1,5,2450,5714
,,,,,,08/02/2013 Total,,1,5,2450,5714
,,,,,,05/09/2013,$50K - $70K,1,4,6334,11377
,,,,,,05/09/2013 Total,,1,4,6334,11377
,,,,,Mexico Total,,,2,9,8784,17091
,,,,DF Total,,,,2,9,8784,17091
,,,Mexico City Total,,,,,2,9,8784,17091
,,,Portland,OR,USA,23/03/2012,$10K - $30K,1,4,4774,966
,,,,,,23/03/2012 Total,,1,4,4774,966
,,,,,,12/05/2012,$30K - $50K,1,3,9535,1683
,,,,,,12/05/2012 Total,,1,3,9535,1683
,,,,,,13/05/2012,$130K - $150K,1,2,4584,1708
,,,,,,13/05/2012 Total,,1,2,4584,1708
,,,,,,22/04/2013,$150K +,1,3,8198,7686
,,,,,,22/04/2013 Total,,1,3,8198,7686
,,,,,,03/10/2013,$70K - $90K,1,4,10166,12138
,,,,,,03/10/2013 Total,,1,4,10166,12138
,,,,,,05/10/2013,$10K - $30K,1,5,4774,12199
,,,,,,05/10/2013 Total,,1,5,4774,12199
,,,,,USA Total,,,6,21,42031,36380
,,,,OR Total,,,,6,21,42031,36380
,,,Portland Total,,,,,6,21,42031,36380
,,,Salem,OR,USA,04/02/2012,$50K - $70K,1,4,6510,343
,,,,,,04/02/2012 Total,,1,4,6510,343
,,,,,,19/02/2012,$70K - $90K,1,3,9297,519
,,,,,,19/02/2012 Total,,1,3,9297,519
,,,,,,29/04/2012,$50K - $70K,1,6,5196,1511
,,,,,,29/04/2012 Total,,1,6,5196,1511
,,,,,,30/07/2012,$70K - $90K,1,5,9297,2640
,,,,,,30/07/2012 Total,,1,5,9297,2640
,,,,,,01/10/2012,$30K - $50K,1,6,5899,3397
,,,,,,01/10/2012 Total,,1,6,5899,3397
,,,,,,28/04/2013,$10K - $30K,1,4,4543,7851
,,,,,,28/04/2013 Total,,1,4,4543,7851
,,,,,,28/07/2013,$30K - $50K,1,4,5530,10361
,,,,,,28/07/2013 Total,,1,4,5530,10361
,,,,,,19/12/2013,$130K - $150K,1,5,208,13988
,,,,,,19/12/2013 Total,,1,5,208,13988
,,,,,,22/12/2013,$10K - $30K,1,4,2656,14012
,,,,,,22/12/2013 Total,,1,4,2656,14012
,,,,,USA Total,,,9,41,49136,54622
,,,,OR Total,,,,9,41,49136,54622
,,,Salem Total,,,,,9,41,49136,54622
,,,San Andres,DF,Mexico,18/01/2013,$10K - $30K,1,5,8867,5154
,,,,,,18/01/2013 Total,,1,5,8867,5154
,,,,,,06/06/2013,$30K - $50K,1,4,1135,8934
,,,,,,06/06/2013 Total,,1,4,1135,8934
,,,,,,31/07/2013,$30K - $50K,1,5,8510,10427
,,,,,,31/07/2013 Total,,1,5,8510,10427
,,,,,,24/08/2013,$30K - $50K,1,3,2391,11045
,,,,,,24/08/2013 Total,,1,3,2391,11045
,,,,,Mexico Total,,,4,17,20903,35560
,,,,DF Total,,,,4,17,20903,35560
,,,San Andres Total,,,,,4,17,20903,35560
,,,San Diego,CA,USA,19/03/2012,$70K - $90K,1,5,991,925
,,,,,,19/03/2012 Total,,1,5,991,925
,,,,,,20/07/2013,$50K - $70K,1,4,4864,10161
,,,,,,20/07/2013 Total,,1,4,4864,10161
,,,,,,14/08/2013,$50K - $70K,1,2,9488,10811
,,,,,,14/08/2013 Total,,1,2,9488,10811
,,,,,,16/08/2013,$30K - $50K,1,3,7387,10845
,,,,,,16/08/2013 Total,,1,3,7387,10845
,,,,,,26/10/2013,$30K - $50K,1,3,2584,12772
,,,,,,26/10/2013 Total,,1,3,2584,12772
,,,,,,02/12/2013,$30K - $50K,1,4,5313,13767
,,,,,,02/12/2013 Total,,1,4,5313,13767
,,,,,USA Total,,,6,21,30627,59281
,,,,CA Total,,,,6,21,30627,59281
,,,San Diego Total,,,,,6,21,30627,59281
,,,Seattle,WA,USA,06/05/2012,$50K - $70K,1,4,2035,1625
,,,,,,06/05/2012 Total,,1,4,2035,1625
,,,,,,13/08/2012,$130K - $150K,1,5,3840,2826
,,,,,,13/08/2012 Total,,1,5,3840,2826
,,,,,,21/10/2012,$30K - $50K,1,2,1082,3649
,,,,,,21/10/2012 Total,,1,2,1082,3649
,,,,,,17/11/2012,$50K - $70K,1,5,8574,3991
,,,,,,17/11/2012 Total,,1,5,8574,3991
,,,,,,28/02/2013,$30K - $50K,1,5,221,6298
,,,,,,28/02/2013 Total,,1,5,221,6298
,,,,,USA Total,,,5,21,15752,18389
,,,,WA Total,,,,5,21,15752,18389
,,,Seattle Total,,,,,5,21,15752,18389
,,,Spokane,WA,USA,01/10/2012,$130K - $150K,1,5,4868,3392
,,,,,,01/10/2012 Total,,1,5,4868,3392
,,,,,,23/04/2013,$30K - $50K,1,4,4676,7712
,,,,,,23/04/2013 Total,,1,4,4676,7712
,,,,,,26/07/2013,$50K - $70K,1,5,8275,10292
,,,,,,26/07/2013 Total,,1,5,8275,10292
,,,,,USA Total,,,3,14,17819,21396
,,,,WA Total,,,,3,14,17819,21396
,,,Spokane Total,,,,,3,14,17819,21396
,,,Tacoma,WA,USA,03/01/2012,$150K +,1,5,6960,47
,,,,,,03/01/2012 Total,,1,5,6960,47
,,,,,,24/10/2012,$130K - $150K,1,5,158,3689
,,,,,,24/10/2012 Total,,1,5,158,3689
,,,,,,28/04/2013,$30K - $50K,1,3,5398,7849
,,,,,,28/04/2013 Total,,1,3,5398,7849
,,,,,USA Total,,,3,13,12516,11585
,,,,WA Total,,,,3,13,12516,11585
,,,Tacoma Total,,,,,3,13,12516,11585
,,,Vancouver,BC,Canada,24/02/2013,$10K - $30K,1,6,9086,6190
,,,,,,24/02/2013 Total,,1,6,9086,6190
,,,,,,23/09/2013,$50K - $70K,1,7,2066,11886
,,,,,,23/09/2013 Total,,1,7,2066,11886
,,,,,Canada Total,,,2,13,11152,18076
,,,,BC Total,,,,2,13,11152,18076
,,,Vancouver Total,,,,,2,13,11152,18076
,,,Victoria,BC,Canada,23/10/2013,$50K - $70K,1,6,8044,12704
,,,,,,23/10/2013 Total,,1,6,8044,12704
,,,,,Canada Total,,,1,6,8044,12704
,,,,BC Total,,,,1,6,8044,12704
,,,Victoria Total,,,,,1,6,8044,12704
,,,Yakima,WA,USA,15/11/2012,$10K - $30K,1,5,9697,3973
,,,,,,15/11/2012 Total,,1,5,9697,3973
,,,,,,03/12/2012,$70K - $90K,1,4,2547,4229
,,,,,,03/12/2012 Total,,1,4,2547,4229
,,,,,,11/12/2012,$50K - $70K,1,3,10068,4352
,,,,,,11/12/2012 Total,,1,3,10068,4352
,,,,,USA Total,,,3,12,22312,12554
,,,,WA Total,,,,3,12,22312,12554
,,,Yakima Total,,,,,3,12,22312,12554
,,M Total,,,,,,59,243,318078,415367
,,S,Acapulco,Guerrero,Mexico,06/03/2013,$130K - $150K,1,4,5652,6464
,,,,,,06/03/2013 Total,,1,4,5652,6464
,,,,,,10/12/2013,$70K - $90K,1,3,9953,13890
,,,,,,10/12/2013 Total,,1,3,9953,13890
,,,,,Mexico Total,,,2,7,15605,20354
,,,,Guerrero Total,,,,2,7,15605,20354
,,,Acapulco Total,,,,,2,7,15605,20354
,,,Beverly Hills,CA,USA,17/05/2012,$130K - $150K,1,5,975,1746
,,,,,,17/05/2012 Total,,1,5,975,1746
,,,,,,23/11/2012,$10K - $30K,1,6,7465,4083
,,,,,,23/11/2012 Total,,1,6,7465,4083
,,,,,USA Total,,,2,11,8440,5829
,,,,CA Total,,,,2,11,8440,5829
,,,Beverly Hills Total,,,,,2,11,8440,5829
,,,Bremerton,WA,USA,17/09/2012,$50K - $70K,1,3,8966,3235
,,,,,,17/09/2012 Total,,1,3,8966,3235
,,,,,,25/09/2012,$30K - $50K,1,3,7743,3329
,,,,,,25/09/2012 Total,,1,3,7743,3329
,,,,,,17/11/2012,$30K - $50K,1,2,1070,3995
,,,,,,17/11/2012 Total,,1,2,1070,3995
,,,,,,17/12/2012,$10K - $30K,1,5,7810,4461
,,,,,,17/12/2012 Total,,1,5,7810,4461
,,,,,,30/12/2012,$10K - $30K,1,3,878,4704
,,,,,,30/12/2012 Total,,1,3,878,4704
,,,,,,26/02/2013,$30K - $50K,1,3,6291,6224
,,,,,,26/02/2013 Total,,1,3,6291,6224
,,,,,,19/03/2013,$150K +,1,3,760,6806
,,,,,,19/03/2013 Total,,1,3,760,6806
,,,,,USA Total,,,7,22,33518,32754
,,,,WA Total,,,,7,22,33518,32754
,,,Bremerton Total,,,,,7,22,33518,32754
,,,Camacho,Zacatecas,Mexico,10/05/2013,$30K - $50K,1,4,9811,8194
,,,,,,10/05/2013 Total,,1,4,9811,8194
,,,,,Mexico Total,,,1,4,9811,8194
,,,,Zacatecas Total,,,,1,4,9811,8194
,,,Camacho Total,,,,,1,4,9811,8194
,,,Guadalajara,Jalisco,Mexico,31/10/2013,$10K - $30K,1,1,6629,12924
,,,,,,31/10/2013 Total,,1,1,6629,12924
,,,,,Mexico Total,,,1,1,6629,12924
,,,,Jalisco Total,,,,1,1,6629,12924
,,,Guadalajara Total,,,,,1,1,6629,12924
,,,Hidalgo,Zacatecas,Mexico,13/04/2013,$30K - $50K,1,5,5148,7443
,,,,,,13/04/2013 Total,,1,5,5148,7443
,,,,,,02/05/2013,$10K - $30K,1,4,3858,7969
,,,,,,02/05/2013 Total,,1,4,3858,7969
,,,,,,13/07/2013,$30K - $50K,1,4,7782,9956
,,,,,,13/07/2013 Total,,1,4,7782,9956
,,,,,,26/10/2013,$30K - $50K,1,3,7016,12790
,,,,,,26/10/2013 Total,,1,3,7016,12790
,,,,,Mexico Total,,,4,16,23804,38158
,,,,Zacatecas Total,,,,4,16,23804,38158
,,,Hidalgo Total,,,,,4,16,23804,38158
,,,Los Angeles,CA,USA,24/01/2012,$30K - $50K,1,3,213,209
,,,,,,24/01/2012 Total,,1,3,213,209
,,,,,,21/05/2012,$50K - $70K,1,4,417,1812
,,,,,,21/05/2012 Total,,1,4,417,1812
,,,,,,02/07/2012,$50K - $70K,1,5,8094,2310
,,,,,,02/07/2012 Total,,1,5,8094,2310
,,,,,,31/08/2012,$10K - $30K,1,3,1091,3037
,,,,,,31/08/2012 Total,,1,3,1091,3037
,,,,,,09/09/2013,$10K - $30K,1,6,7660,11470
,,,,,,09/09/2013 Total,,1,6,7660,11470
,,,,,USA Total,,,5,21,17475,18838
,,,,CA Total,,,,5,21,17475,18838
,,,Los Angeles Total,,,,,5,21,17475,18838
,,,Merida,Yucatan,Mexico,19/02/2013,$30K - $50K,1,3,8345,6027
,,,,,,19/02/2013 Total,,1,3,8345,6027
,,,,,,11/03/2013,$30K - $50K,1,5,3982,6593
,,,,,,11/03/2013 Total,,1,5,3982,6593
,,,,,,29/05/2013,$10K - $30K,1,4,2118,8721
,,,,,,29/05/2013 Total,,1,4,2118,8721
,,,,,,07/10/2013,$10K - $30K,1,5,1930,12244
,,,,,,,$30K - $50K,1,6,5512,12261
,,,,,,07/10/2013 Total,,2,11,7442,24505
,,,,,Mexico Total,,,5,23,21887,45846
,,,,Yucatan Total,,,,5,23,21887,45846
,,,Merida Total,,,,,5,23,21887,45846
,,,Orizaba,Veracruz,Mexico,23/09/2013,$30K - $50K,1,3,1550,11858
,,,,,,23/09/2013 Total,,1,3,1550,11858
,,,,,,13/10/2013,$50K - $70K,1,2,3761,12428
,,,,,,13/10/2013 Total,,1,2,3761,12428
,,,,,Mexico Total,,,2,5,5311,24286
,,,,Veracruz Total,,,,2,5,5311,24286
,,,Orizaba Total,,,,,2,5,5311,24286
,,,Portland,OR,USA,27/03/2012,$50K - $70K,1,3,9340,1022
,,,,,,27/03/2012 Total,,1,3,9340,1022
,,,,,,14/06/2013,$50K - $70K,1,2,30,9157
,,,,,,14/06/2013 Total,,1,2,30,9157
,,,,,USA Total,,,2,5,9370,10179
,,,,OR Total,,,,2,5,9370,10179
,,,Portland Total,,,,,2,5,9370,10179
,,,Salem,OR,USA,09/02/2012,$50K - $70K,1,5,2398,408
,,,,,,09/02/2012 Total,,1,5,2398,408
,,,,,,20/02/2012,$10K - $30K,1,5,1548,532
,,,,,,20/02/2012 Total,,1,5,1548,532
,,,,,,25/04/2012,$30K - $50K,1,5,8164,1467
,,,,,,25/04/2012 Total,,1,5,8164,1467
,,,,,,17/07/2012,$70K - $90K,1,5,2444,2494
,,,,,,17/07/2012 Total,,1,5,2444,2494
,,,,,,08/12/2012,$30K - $50K,1,3,1147,4312
,,,,,,08/12/2012 Total,,1,3,1147,4312
,,,,,,23/04/2013,$50K - $70K,1,3,1423,7704
,,,,,,23/04/2013 Total,,1,3,1423,7704
,,,,,USA Total,,,6,26,17124,16917
,,,,OR Total,,,,6,26,17124,16917
,,,Salem Total,,,,,6,26,17124,16917
,,,San Andres,DF,Mexico,10/04/2013,$70K - $90K,1,5,7113,7359
,,,,,,10/04/2013 Total,,1,5,7113,7359
,,,,,,07/08/2013,$30K - $50K,1,4,4072,10611
,,,,,,07/08/2013 Total,,1,4,4072,10611
,,,,,Mexico Total,,,2,9,11185,17970
,,,,DF Total,,,,2,9,11185,17970
,,,San Andres Total,,,,,2,9,11185,17970
,,,San Diego,CA,USA,28/11/2013,$30K - $50K,1,4,8542,13672
,,,,,,28/11/2013 Total,,1,4,8542,13672
,,,,,USA Total,,,1,4,8542,13672
,,,,CA Total,,,,1,4,8542,13672
,,,San Diego Total,,,,,1,4,8542,13672
,,,San Francisco,CA,USA,26/06/2013,$50K - $70K,1,2,365,9460
,,,,,,26/06/2013 Total,,1,2,365,9460
,,,,,USA Total,,,1,2,365,9460
,,,,CA Total,,,,1,2,365,9460
,,,San Francisco Total,,,,,1,2,365,9460
,,,Seattle,WA,USA,25/10/2012,$130K - $150K,1,3,7654,3702
,,,,,,25/10/2012 Total,,1,3,7654,3702
,,,,,,20/12/2012,$70K - $90K,1,4,1346,4496
,,,,,,20/12/2012 Total,,1,4,1346,4496
,,,,,USA Total,,,2,7,9000,8198
,,,,WA Total,,,,2,7,9000,8198
,,,Seattle Total,,,,,2,7,9000,8198
,,,Spokane,WA,USA,15/11/2012,$30K - $50K,1,4,1720,3970
,,,,,,15/11/2012 Total,,1,4,1720,3970
,,,,,,28/01/2013,$30K - $50K,1,4,6957,5406
,,,,,,28/01/2013 Total,,1,4,6957,5406
,,,,,,22/06/2013,$30K - $50K,1,3,6957,9357
,,,,,,22/06/2013 Total,,1,3,6957,9357
,,,,,USA Total,,,3,11,15634,18733
,,,,WA Total,,,,3,11,15634,18733
,,,Spokane Total,,,,,3,11,15634,18733
,,,Tacoma,WA,USA,26/01/2012,$10K - $30K,1,5,9469,224
,,,,,,26/01/2012 Total,,1,5,9469,224
,,,,,,06/02/2012,$10K - $30K,1,5,2918,373
,,,,,,06/02/2012 Total,,1,5,2918,373
,,,,,,10/12/2012,$50K - $70K,1,6,4239,4326
,,,,,,10/12/2012 Total,,1,6,4239,4326
,,,,,,08/04/2013,$30K - $50K,1,3,3397,7323
,,,,,,08/04/2013 Total,,1,3,3397,7323
,,,,,,27/10/2013,$10K - $30K,1,4,1145,12809
,,,,,,27/10/2013 Total,,1,4,1145,12809
,,,,,USA Total,,,5,23,21168,25055
,,,,WA Total,,,,5,23,21168,25055
,,,Tacoma Total,,,,,5,23,21168,25055
,,,Vancouver,BC,Canada,12/06/2013,$50K - $70K,1,3,2354,9090
,,,,,,12/06/2013 Total,,1,3,2354,9090
,,,,,,20/06/2013,$70K - $90K,1,6,262,9322
,,,,,,20/06/2013 Total,,1,6,262,9322
,,,,,Canada Total,,,2,9,2616,18412
,,,,BC Total,,,,2,9,2616,18412
,,,Vancouver Total,,,,,2,9,2616,18412
,,,Walla Walla,WA,USA,25/09/2012,$70K - $90K,1,1,1925,3322
,,,,,,25/09/2012 Total,,1,1,1925,3322
,,,,,USA Total,,,1,1,1925,3322
,,,,WA Total,,,,1,1,1925,3322
,,,Walla Walla Total,,,,,1,1,1925,3322
,,,Yakima,WA,USA,02/01/2012,$30K - $50K,1,6,8746,42
,,,,,,02/01/2012 Total,,1,6,8746,42
,,,,,,03/03/2013,$50K - $70K,1,6,554,6360
,,,,,,03/03/2013 Total,,1,6,554,6360
,,,,,USA Total,,,2,12,9300,6402
,,,,WA Total,,,,2,12,9300,6402
,,,Yakima Total,,,,,2,12,9300,6402
,,S Total,,,,,,56,219,248709,355503
,F Total,,,,,,,115,462,566787,770870
,M,M,Acapulco,Guerrero,Mexico,12/10/2013,$70K - $90K,1,3,8039,12376
,,,,,,12/10/2013 Total,,1,3,8039,12376
,,,,,Mexico Total,,,1,3,8039,12376
,,,,Guerrero Total,,,,1,3,8039,12376
,,,Acapulco Total,,,,,1,3,8039,12376
,,,Beverly Hills,CA,USA,18/05/2012,$10K - $30K,1,3,10022,1759
,,,,,,18/05/2012 Total,,1,3,10022,1759
,,,,,,14/10/2012,$70K - $90K,1,5,7841,3579
,,,,,,14/10/2012 Total,,1,5,7841,3579
,,,,,,10/01/2013,$10K - $30K,1,3,598,4942
,,,,,,10/01/2013 Total,,1,3,598,4942
,,,,,USA Total,,,3,11,18461,10280
,,,,CA Total,,,,3,11,18461,10280
,,,Beverly Hills Total,,,,,3,11,18461,10280
,,,Bremerton,WA,USA,14/03/2012,$10K - $30K,1,5,9642,845
,,,,,,14/03/2012 Total,,1,5,9642,845
,,,,,,31/08/2012,$10K - $30K,1,3,8902,3031
,,,,,,31/08/2012 Total,,1,3,8902,3031
,,,,,,01/12/2013,$50K - $70K,1,4,2905,13756
,,,,,,01/12/2013 Total,,1,4,2905,13756
,,,,,USA Total,,,3,12,21449,17632
,,,,WA Total,,,,3,12,21449,17632
,,,Bremerton Total,,,,,3,12,21449,17632
,,,Camacho,Zacatecas,Mexico,22/06/2013,$50K - $70K,1,3,1295,9368
,,,,,,22/06/2013 Total,,1,3,1295,9368
,,,,,Mexico Total,,,1,3,1295,9368
,,,,Zacatecas Total,,,,1,3,1295,9368
,,,Camacho Total,,,,,1,3,1295,9368
,,,Hidalgo,Zacatecas,Mexico,27/11/2013,$50K - $70K,1,6,9819,13656
,,,,,,27/11/2013 Total,,1,6,9819,13656
,,,,,Mexico Total,,,1,6,9819,13656
,,,,Zacatecas Total,,,,1,6,9819,13656
,,,Hidalgo Total,,,,,1,6,9819,13656
,,,Los Angeles,CA,USA,10/05/2012,$30K - $50K,1,3,2927,1673
,,,,,,10/05/2012 Total,,1,3,2927,1673
,,,,,,12/07/2012,$70K - $90K,1,3,2757,2420
,,,,,,12/07/2012 Total,,1,3,2757,2420
,,,,,,02/10/2012,$30K - $50K,1,2,3922,3411
,,,,,,02/10/2012 Total,,1,2,3922,3411
,,,,,,29/11/2012,$10K - $30K,1,3,3115,4161
,,,,,,29/11/2012 Total,,1,3,3115,4161
,,,,,,08/07/2013,$50K - $70K,1,3,7924,9799
,,,,,,08/07/2013 Total,,1,3,7924,9799
,,,,,,29/07/2013,$90K - $110K,1,3,7139,10375
,,,,,,29/07/2013 Total,,1,3,7139,10375
,,,,,USA Total,,,6,17,27784,31839
,,,,CA Total,,,,6,17,27784,31839
,,,Los Angeles Total,,,,,6,17,27784,31839
,,,Orizaba,Veracruz,Mexico,17/02/2013,$30K - $50K,1,3,7860,5984
,,,,,,17/02/2013 Total,,1,3,7860,5984
,,,,,,25/09/2013,$30K - $50K,1,3,9573,11932
,,,,,,25/09/2013 Total,,1,3,9573,11932
,,,,,Mexico Total,,,2,6,17433,17916
,,,,Veracruz Total,,,,2,6,17433,17916
,,,Orizaba Total,,,,,2,6,17433,17916
,,,Portland,OR,USA,29/02/2012,$90K - $110K,1,6,5339,641
,,,,,,29/02/2012 Total,,1,6,5339,641
,,,,,,30/07/2012,$70K - $90K,1,6,5724,2643
,,,,,,30/07/2012 Total,,1,6,5724,2643
,,,,,USA Total,,,2,12,11063,3284
,,,,OR Total,,,,2,12,11063,3284
,,,Portland Total,,,,,2,12,11063,3284
,,,Salem,OR,USA,18/02/2012,$50K - $70K,1,4,9929,507
,,,,,,18/02/2012 Total,,1,4,9929,507
,,,,,,21/02/2012,$30K - $50K,1,5,439,543
,,,,,,21/02/2012 Total,,1,5,439,543
,,,,,,02/04/2013,$130K - $150K,1,2,9892,7162
,,,,,,02/04/2013 Total,,1,2,9892,7162
,,,,,USA Total,,,3,11,20260,8212
,,,,OR Total,,,,3,11,20260,8212
,,,Salem Total,,,,,3,11,20260,8212
,,,San Andres,DF,Mexico,20/07/2013,$50K - $70K,1,4,7342,10163
,,,,,,20/07/2013 Total,,1,4,7342,10163
,,,,,,02/08/2013,$10K - $30K,1,5,4960,10490
,,,,,,02/08/2013 Total,,1,5,4960,10490
,,,,,,26/08/2013,$130K - $150K,1,3,8191,11114
,,,,,,26/08/2013 Total,,1,3,8191,11114
,,,,,,05/10/2013,$110K - $130K,1,3,6750,12189
,,,,,,05/10/2013 Total,,1,3,6750,12189
,,,,,,03/11/2013,$30K - $50K,1,5,2790,13026
,,,,,,03/11/2013 Total,,1,5,2790,13026
,,,,,Mexico Total,,,5,20,30033,56982
,,,,DF Total,,,,5,20,30033,56982
,,,San Andres Total,,,,,5,20,30033,56982
,,,San Diego,CA,USA,20/04/2013,$30K - $50K,1,4,618,7616
,,,,,,20/04/2013 Total,,1,4,618,7616
,,,,,,12/11/2013,$10K - $30K,1,7,7541,13270
,,,,,,12/11/2013 Total,,1,7,7541,13270
,,,,,USA Total,,,2,11,8159,20886
,,,,CA Total,,,,2,11,8159,20886
,,,San Diego Total,,,,,2,11,8159,20886
,,,Seattle,WA,USA,01/03/2012,$50K - $70K,1,4,4205,655
,,,,,,01/03/2012 Total,,1,4,4205,655
,,,,,,14/07/2012,$30K - $50K,1,5,7632,2447
,,,,,,14/07/2012 Total,,1,5,7632,2447
,,,,,,13/05/2013,$50K - $70K,1,5,1507,8261
,,,,,,13/05/2013 Total,,1,5,1507,8261
,,,,,USA Total,,,3,14,13344,11363
,,,,WA Total,,,,3,14,13344,11363
,,,Seattle Total,,,,,3,14,13344,11363
,,,Spokane,WA,USA,29/01/2012,$30K - $50K,1,6,4021,263
,,,,,,29/01/2012 Total,,1,6,4021,263
,,,,,,30/01/2012,$70K - $90K,1,3,6835,279
,,,,,,30/01/2012 Total,,1,3,6835,279
,,,,,,12/05/2012,$30K - $50K,1,3,7862,1687
,,,,,,12/05/2012 Total,,1,3,7862,1687
,,,,,,19/09/2012,$30K - $50K,1,4,5374,3264
,,,,,,19/09/2012 Total,,1,4,5374,3264
,,,,,,08/10/2012,$30K - $50K,1,4,5374,3514
,,,,,,08/10/2012 Total,,1,4,5374,3514
,,,,,,31/10/2013,$50K - $70K,1,5,1567,12917
,,,,,,31/10/2013 Total,,1,5,1567,12917
,,,,,USA Total,,,6,25,31033,21924
,,,,WA Total,,,,6,25,31033,21924
,,,Spokane Total,,,,,6,25,31033,21924
,,,Tacoma,WA,USA,11/09/2012,$30K - $50K,1,4,10091,3166
,,,,,,11/09/2012 Total,,1,4,10091,3166
,,,,,,23/04/2013,$10K - $30K,1,5,8963,7711
,,,,,,23/04/2013 Total,,1,5,8963,7711
,,,,,USA Total,,,2,9,19054,10877
,,,,WA Total,,,,2,9,19054,10877
,,,Tacoma Total,,,,,2,9,19054,10877
,,,Vancouver,BC,Canada,03/03/2013,$70K - $90K,1,2,2834,6379
,,,,,,03/03/2013 Total,,1,2,2834,6379
,,,,,,23/03/2013,$10K - $30K,1,5,10121,6882
,,,,,,23/03/2013 Total,,1,5,10121,6882
,,,,,,14/05/2013,$30K - $50K,1,3,3526,8288
,,,,,,14/05/2013 Total,,1,3,3526,8288
,,,,,Canada Total,,,3,10,16481,21549
,,,,BC Total,,,,3,10,16481,21549
,,,Vancouver Total,,,,,3,10,16481,21549
,,,Victoria,BC,Canada,23/03/2013,$30K - $50K,1,2,6094,6868
,,,,,,23/03/2013 Total,,1,2,6094,6868
,,,,,Canada Total,,,1,2,6094,6868
,,,,BC Total,,,,1,2,6094,6868
,,,Victoria Total,,,,,1,2,6094,6868
,,,Walla Walla,WA,USA,30/03/2012,$130K - $150K,1,2,5162,1080
,,,,,,30/03/2012 Total,,1,2,5162,1080
,,,,,USA Total,,,1,2,5162,1080
,,,,WA Total,,,,1,2,5162,1080
,,,Walla Walla Total,,,,,1,2,5162,1080
,,,Yakima,WA,USA,22/10/2012,$110K - $130K,1,5,9667,3656
,,,,,,22/10/2012 Total,,1,5,9667,3656
,,,,,,20/03/2013,$70K - $90K,1,2,8769,6820
,,,,,,20/03/2013 Total,,1,2,8769,6820
,,,,,USA Total,,,2,7,18436,10476
,,,,WA Total,,,,2,7,18436,10476
,,,Yakima Total,,,,,2,7,18436,10476
,,M Total,,,,,,47,181,283399,286568
,,S,Acapulco,Guerrero,Mexico,10/02/2013,$50K - $70K,1,4,10160,5777
,,,,,,10/02/2013 Total,,1,4,10160,5777
,,,,,,11/08/2013,$10K - $30K,1,3,1823,10705
,,,,,,11/08/2013 Total,,1,3,1823,10705
,,,,,Mexico Total,,,2,7,11983,16482
,,,,Guerrero Total,,,,2,7,11983,16482
,,,Acapulco Total,,,,,2,7,11983,16482
,,,Bellingham,WA,USA,21/12/2012,$110K - $130K,1,1,736,4529
,,,,,,21/12/2012 Total,,1,1,736,4529
,,,,,USA Total,,,1,1,736,4529
,,,,WA Total,,,,1,1,736,4529
,,,Bellingham Total,,,,,1,1,736,4529
,,,Beverly Hills,CA,USA,18/05/2012,$50K - $70K,1,6,9662,1761
,,,,,,18/05/2012 Total,,1,6,9662,1761
,,,,,,16/06/2012,$30K - $50K,1,4,6429,2100
,,,,,,16/06/2012 Total,,1,4,6429,2100
,,,,,,20/05/2013,$10K - $30K,1,5,2627,8443
,,,,,,20/05/2013 Total,,1,5,2627,8443
,,,,,,08/09/2013,$30K - $50K,1,2,8151,11452
,,,,,,08/09/2013 Total,,1,2,8151,11452
,,,,,,13/09/2013,$110K - $130K,1,4,3345,11593
,,,,,,13/09/2013 Total,,1,4,3345,11593
,,,,,,19/10/2013,$30K - $50K,1,4,5954,12556
,,,,,,19/10/2013 Total,,1,4,5954,12556
,,,,,USA Total,,,6,25,36168,47905
,,,,CA Total,,,,6,25,36168,47905
,,,Beverly Hills Total,,,,,6,25,36168,47905
,,,Bremerton,WA,USA,27/10/2012,$10K - $30K,1,5,1798,3715
,,,,,,27/10/2012 Total,,1,5,1798,3715
,,,,,,19/04/2013,$70K - $90K,1,4,1124,7591
,,,,,,19/04/2013 Total,,1,4,1124,7591
,,,,,USA Total,,,2,9,2922,11306
,,,,WA Total,,,,2,9,2922,11306
,,,Bremerton Total,,,,,2,9,2922,11306
,,,Camacho,Zacatecas,Mexico,14/01/2013,$50K - $70K,1,4,2986,5055
,,,,,,14/01/2013 Total,,1,4,2986,5055
,,,,,Mexico Total,,,1,4,2986,5055
,,,,Zacatecas Total,,,,1,4,2986,5055
,,,Camacho Total,,,,,1,4,2986,5055
,,,Hidalgo,Zacatecas,Mexico,03/04/2013,$30K - $50K,1,2,7261,7186
,,,,,,03/04/2013 Total,,1,2,7261,7186
,,,,,,17/08/2013,$30K - $50K,1,4,597,10874
,,,,,,17/08/2013 Total,,1,4,597,10874
,,,,,Mexico Total,,,2,6,7858,18060
